Emotion,Dish Name,Cuisine,Ingredients,Instructions
joy,Classic Nepali Momo,Nepali,"Flour, Minced meat/veg, Onion, Ginger, Garlic, Cabbage, Masala","Mix ingredients for filling, wrap in dough circles, and steam for 10-12 mins. Serve with spicy tomato achar."
joy,Birthday Cake,Bakery,"Flour, Sugar, Eggs, Butter, Vanilla, Baking Powder","Cream butter and sugar, add eggs, fold in dry ingredients. Bake at 180C for 30 mins and frost."
joy,Fruit Salad with Honey,Healthy,"Seasonal fruits, Honey, Mint leaves, Lemon juice","Chop all fruits, toss with honey and lemon juice. Garnish with mint for a fresh celebratory feel."
joy,Pani Puri,Street Food,"Semolina puris, Boiled potatoes, Chickpeas, Tamarind water, Mint, Chili","Fill puris with mashed potato mixture and dunk into the spiced chilled mint water."
joy,Vegetable Pizza,Italian,"Pizza dough, Tomato sauce, Mozzarella, Bell peppers, Mushrooms, Olives","Spread sauce on dough, add toppings and cheese. Bake at 220C until crust is golden."
sadness,Warm Nepali Kheer,Nepali,"Rice, Milk, Sugar, Cardamom, Ghee, Cashews, Raisins","Boil milk and rice on low heat until creamy. Add sugar and nuts. Serve warm for ultimate comfort."
sadness,Hot Chocolate,Cafe,"Milk, Cocoa powder, Sugar, Dark chocolate, Marshmallows","Whisk cocoa and sugar into warm milk. Stir in chocolate pieces until melted. Top with marshmallows."
sadness,Chicken Noodle Soup,International,"Chicken breast, Egg noodles, Carrots, Celery, Onion, Broth","Simmer veggies and chicken in broth. Add noodles and cook until soft. Season with salt and pepper."
sadness,Dal Bhat Power,Nepali,"Lentils, Rice, Turmeric, Cumin, Ghee, Seasonal veg curry","Slow cook lentils with spices. Serve with steaming hot rice and a dollop of ghee."
sadness,Mashed Potatoes,Comfort,"Potatoes, Butter, Milk, Salt, Garlic powder","Boil potatoes until soft, mash with butter and milk until smooth and fluffy."
anger,Spicy Sichuan Noodles,Chinese,"Noodles, Chili oil, Soy sauce, Garlic, Vinegar, Peanuts","Toss boiled noodles in a heavy dose of chili oil and garlic to match your fiery mood."
anger,Sadeko Badam,Nepali,"Roasted peanuts, Chopped onion, Tomato, Green chili, Lemon, Mustard oil","Mix all ingredients in a bowl. The sharp lemon and chili provide a refreshing kick."
anger,Spicy Chicken Wings,American,"Chicken wings, Hot sauce, Butter, Garlic, Cayenne pepper","Coat wings in flour, fry until crispy, and toss in a buttery hot buffalo sauce."
anger,Jhalmuri,Street Food,"Puffed rice, Mustard oil, Chanachur, Green chili, Onion, Cucumber","Mix puffed rice with raw mustard oil and plenty of green chilies for a sharp, spicy snack."
anger,Dark Chocolate Bar,Snack,"70% Cocoa dark chocolate","Snap off a piece of high-quality dark chocolate to help lower cortisol levels."
fear,Chamomile Tea & Biscuits,Light,"Chamomile tea bag, Hot water, Honey, Digestive biscuits","Steep tea for 5 mins, add honey. Sip slowly with crunchy biscuits to calm the nerves."
fear,Thukpa (Noodle Soup),Himalayan,"Noodles, Broth, Ginger, Garlic, Carrot, Spinach, Light spices","A gentle, warming soup that feels like a hug in a bowl. Not too spicy, very soothing."
fear,Oatmeal with Banana,Healthy,"Oats, Milk/Water, Sliced banana, Cinnamon, Walnuts","Cook oats until soft. Top with banana and walnuts for a grounded, steady energy release."
fear,Steamed Veggies,Healthy,"Broccoli, Carrots, Beans, Lemon, Light salt","Lightly steam vegetables to keep them crunchy and fresh. Season very mildly."
fear,Plain Curd (Juju Dhau),Nepali,"Fresh buffalo milk, Sugar, Culture","The 'King of Yogurt' from Bhaktapur is cool, creamy, and incredibly settling for the stomach."
surprise,Rainbow Sushi Rolls,Japanese,"Sushi rice, Nori, Avocado, Cucumber, Mango, Tuna/Salmon","A colorful surprise of flavors and textures wrapped in seaweed and rice."
surprise,Chatamari (Nepali Pizza),Nepali,"Rice flour crepes, Minced meat, Egg, Onion, Tomato","A unique thin-crust rice crepe topped with savory ingredients. A delight for the senses."
surprise,Stuffed Mushrooms,Appetizer,"Mushroom caps, Cream cheese, Garlic, Breadcrumbs, Herbs","Fill mushroom caps with cheese mixture and bake until bubbly and golden."
